|carat|cut|color|clarity|depth|table|price|x|y|z
38|0,26|Very Good|D|VS2|60,8|59,0|403|4,13|4,16|2,52
39|0,33|Ideal|I|SI2|61,8|55,0|403|4,49|4,51|2,78
40|0,33|Ideal|I|SI2|61,2|56,0|403|4,49|4,5|2,75
41|0,33|Ideal|J|SI1|61,1|56,0|403|4,49|4,55|2,76
42|0,26|Good|D|VS2|65,2|56,0|403|3,99|4,02|2,61
43|0,26|Good|D|VS1|58,4|63,0|403|4,19|4,24|2,46
44|0,32|Good|H|SI2|63,1|56,0|403|4,34|4,37|2,75
45|0,29|Premium|F|SI1|62,4|58,0|403|4,24|4,26|2,65
46|0,32|Very Good|H|SI2|61,8|55,0|403|4,35|4,42|2,71
47|0,32|Good|H|SI2|63,8|56,0|403|4,36|4,38|2,79
48|0,25|Very Good|E|VS2|63,3|60,0|404|4,0|4,03|2,54
49|0,29|Very Good|H|SI2|60,7|60,0|404|4,33|4,37|2,64
50|0,24|Very Good|F|SI1|60,9|61,0|404|4,02|4,03|2,45
51|0,23|Ideal|G|VS1|61,9|54,0|404|3,93|3,95|2,44
52|0,32|Ideal|I|SI1|60,9|55,0|404|4,45|4,48|2,72
53|0,22|Premium|E|VS2|61,6|58,0|404|3,93|3,89|2,41
54|0,22|Premium|D|VS2|59,3|62,0|404|3,91|3,88|2,31
55|0,3|Ideal|I|SI2|61,0|59,0|405|4,3|4,33|2,63
56|0,3|Premium|J|SI2|59,3|61,0|405|4,43|4,38|2,61
57|0,3|Very Good|I|SI1|62,6|57,0|405|4,25|4,28|2,67
58|0,3|Very Good|I|SI1|63,0|57,0|405|4,28|4,32|2,71
59|0,3|Good|I|SI1|63,2|55,0|405|4,25|4,29|2,7
60|0,35|Ideal|I|VS1|60,9|57,0|552|4,54|4,59|2,78
61|0,3|Premium|D|SI1|62,6|59,0|552|4,23|4,27|2,66
62|0,3|Ideal|D|SI1|62,5|57,0|552|4,29|4,32|2,69
63|0,3|Ideal|D|SI1|62,1|56,0|552|4,3|4,33|2,68
64|0,42|Premium|I|SI2|61,5|59,0|552|4,78|4,84|2,96
65|0,28|Ideal|G|VVS2|61,4|56,0|553|4,19|4,22|2,58
66|0,32|Ideal|I|VVS1|62,0|55,3|553|4,39|4,42|2,73
67|0,31|Very Good|G|SI1|63,3|57,0|553|4,33|4,3|2,73
68|0,31|Premium|G|SI1|61,8|58,0|553|4,35|4,32|2,68
69|0,24|Premium|E|VVS1|60,7|58,0|553|4,01|4,03|2,44
70|0,24|Very Good|D|VVS1|61,5|60,0|553|3,97|4,0|2,45
71|0,3|Very Good|H|SI1|63,1|56,0|554|4,29|4,27|2,7
72|0,3|Premium|H|SI1|62,9|59,0|554|4,28|4,24|2,68
73|0,3|Premium|H|SI1|62,5|57,0|554|4,29|4,25|2,67
74|0,3|Good|H|SI1|63,7|57,0|554|4,28|4,26|2,72
75|0,26|Very Good|F|VVS2|59,2|60,0|554|4,19|4,22|2,49
76|0,26|Very Good|E|VVS2|59,9|58,0|554|4,15|4,23|2,51
77|0,26|Very Good|D|VVS2|62,4|54,0|554|4,08|4,13|2,56
78|0,26|Very Good|D|VVS2|62,8|60,0|554|4,01|4,05|2,53
79|0,26|Very Good|E|VVS1|62,6|59,0|554|4,06|4,09|2,55
80|0,26|Very Good|E|VVS1|63,4|59,0|554|4,0|4,04|2,55
81|0,26|Very Good|D|VVS1|62,1|60,0|554|4,03|4,12|2,53
82|0,26|Ideal|E|VVS2|62,9|58,0|554|4,02|4,06|2,54
83|0,38|Ideal|I|SI2|61,6|56,0|554|4,65|4,67|2,87
84|0,26|Good|E|VVS1|57,9|60,0|554|4,22|4,25|2,45
85|0,24|Premium|G|VVS1|62,3|59,0|554|3,95|3,92|2,45
86|0,24|Premium|H|VVS1|61,2|58,0|554|4,01|3,96|2,44
87|0,24|Premium|H|VVS1|60,8|59,0|554|4,02|4,0|2,44
88|0,24|Premium|H|VVS2|60,7|58,0|554|4,07|4,04|2,46
89|0,32|Premium|I|SI1|62,9|58,0|554|4,35|4,33|2,73
90|0,7|Ideal|E|SI1|62,5|57,0|2757|5,7|5,72|3,57
91|0,86|Fair|E|SI2|55,1|69,0|2757|6,45|6,33|3,52
92|0,7|Ideal|G|VS2|61,6|56,0|2757|5,7|5,67|3,5
93|0,71|Very Good|E|VS2|62,4|57,0|2759|5,68|5,73|3,56
94|0,78|Very Good|G|SI2|63,8|56,0|2759|5,81|5,85|3,72
95|0,7|Good|E|VS2|57,5|58,0|2759|5,85|5,9|3,38
96|0,7|Good|F|VS1|59,4|62,0|2759|5,71|5,76|3,4
97|0,96|Fair|F|SI2|66,3|62,0|2759|6,27|5,95|4,07
98|0,73|Very Good|E|SI1|61,6|59,0|2760|5,77|5,78|3,56
99|0,8|Premium|H|SI1|61,5|58,0|2760|5,97|5,93|3,66
100|0,75|Very Good|D|SI1|63,2|56,0|2760|5,8|5,75|3,65
101|0,75|Premium|E|SI1|59,9|54,0|2760|6,0|5,96|3,58
102|0,74|Ideal|G|SI1|61,6|55,0|2760|5,8|5,85|3,59
103|0,75|Premium|G|VS2|61,7|58,0|2760|5,85|5,79|3,59
104|0,8|Ideal|I|VS1|62,9|56,0|2760|5,94|5,87|3,72
105|0,75|Ideal|G|SI1|62,2|55,0|2760|5,87|5,8|3,63
106|0,8|Premium|G|SI1|63,0|59,0|2760|5,9|5,81|3,69
107|0,74|Ideal|I|VVS2|62,3|55,0|2761|5,77|5,81|3,61
108|0,81|Ideal|F|SI2|58,8|57,0|2761|6,14|6,11|3,6
109|0,59|Ideal|E|VVS2|62,0|55,0|2761|5,38|5,43|3,35
110|0,8|Ideal|F|SI2|61,4|57,0|2761|5,96|6,0|3,67
111|0,74|Ideal|E|SI2|62,2|56,0|2761|5,8|5,84|3,62
112|0,9|Premium|I|VS2|63,0|58,0|2761|6,16|6,12|3,87
113|0,74|Very Good|G|SI1|62,2|59,0|2762|5,73|5,82|3,59
114|0,73|Ideal|F|VS2|62,6|56,0|2762|5,77|5,74|3,6
115|0,73|Ideal|F|VS2|62,7|53,0|2762|5,8|5,75|3,62
116|0,8|Premium|F|SI2|61,7|58,0|2762|5,98|5,94|3,68
117|0,71|Ideal|G|VS2|62,4|54,0|2762|5,72|5,76|3,58
118|0,7|Ideal|E|VS2|60,7|58,0|2762|5,73|5,76|3,49
119|0,8|Ideal|F|SI2|59,9|59,0|2762|6,01|6,07|3,62
120|0,71|Ideal|D|SI2|62,3|56,0|2762|5,73|5,69|3,56
121|0,74|Ideal|E|SI1|62,3|54,0|2762|5,8|5,83|3,62
122|0,7|Very Good|F|VS2|61,7|63,0|2762|5,64|5,61|3,47
123|0,7|Fair|F|VS2|64,5|57,0|2762|5,57|5,53|3,58
124|0,7|Fair|F|VS2|65,3|55,0|2762|5,63|5,58|3,66
125|0,7|Premium|F|VS2|61,6|60,0|2762|5,65|5,59|3,46
126|0,91|Premium|H|SI1|61,4|56,0|2763|6,09|5,97|3,7
127|0,61|Very Good|D|VVS2|59,6|57,0|2763|5,56|5,58|3,32
128|0,91|Fair|H|SI2|64,4|57,0|2763|6,11|6,09|3,93
129|0,91|Fair|H|SI2|65,7|60,0|2763|6,03|5,99|3,95
130|0,77|Ideal|H|VS2|62,0|56,0|2763|5,89|5,86|3,64
131|0,71|Very Good|D|SI1|63,6|58,0|2764|5,64|5,68|3,6
132|0,71|Ideal|D|SI1|61,9|59,0|2764|5,69|5,72|3,53
133|0,7|Very Good|E|VS2|62,6|60,0|2765|5,62|5,65|3,53
134|0,77|Very Good|H|VS1|61,3|60,0|2765|5,88|5,9|3,61
135|0,63|Premium|E|VVS1|60,9|60,0|2765|5,52|5,55|3,37
136|0,71|Very Good|F|VS1|60,1|62,0|2765|5,74|5,77|3,46
137|0,71|Premium|F|VS1|61,8|59,0|2765|5,69|5,73|3,53
138|0,76|Ideal|H|SI1|61,2|57,0|2765|5,88|5,91|3,61
139|0,64|Ideal|G|VVS1|61,9|56,0|2766|5,53|5,56|3,43
140|0,71|Premium|G|VS2|60,9|57,0|2766|5,78|5,75|3,51
141|0,71|Premium|G|VS2|59,8|56,0|2766|5,89|5,81|3,5
142|0,7|Very Good|D|VS2|61,8|55,0|2767|5,68|5,72|3,52
143|0,7|Very Good|F|VS1|60,0|57,0|2767|5,8|5,87|3,5
144|0,71|Ideal|D|SI2|61,6|55,0|2767|5,74|5,76|3,54
145|0,7|Good|H|VVS2|62,1|64,0|2767|5,62|5,65|3,5
146|0,71|Very Good|G|VS1|63,3|59,0|2768|5,52|5,61|3,52
147|0,73|Very Good|D|SI1|60,2|56,0|2768|5,83|5,87|3,52
148|0,7|Very Good|D|SI1|61,1|58,0|2768|5,66|5,73|3,48
149|0,7|Ideal|E|SI1|60,9|57,0|2768|5,73|5,76|3,5
150|0,71|Premium|D|SI2|61,7|59,0|2768|5,71|5,67|3,51
151|0,74|Ideal|I|SI1|61,3|56,0|2769|5,82|5,86|3,57
152|0,71|Premium|D|VS2|62,5|60,0|2770|5,65|5,61|3,52
153|0,73|Premium|G|VS2|61,4|59,0|2770|5,83|5,76|3,56
154|0,76|Very Good|F|SI1|62,9|57,0|2770|5,79|5,81|3,65
155|0,76|Ideal|D|SI2|62,4|57,0|2770|5,78|5,83|3,62
156|0,71|Ideal|F|SI1|60,7|56,0|2770|5,77|5,8|3,51
157|0,73|Premium|G|VS2|60,7|58,0|2770|5,87|5,82|3,55
158|0,73|Premium|G|VS1|61,5|58,0|2770|5,79|5,75|3,55
159|0,73|Ideal|D|SI2|59,9|57,0|2770|5,92|5,89|3,54
160|0,73|Premium|G|VS2|59,2|59,0|2770|5,92|5,87|3,49
161|0,72|Very Good|H|VVS2|60,3|56,0|2771|5,81|5,83|3,51
162|0,73|Very Good|F|SI1|61,7|60,0|2771|5,79|5,82|3,58
163|0,71|Ideal|G|VS2|61,9|57,0|2771|5,73|5,77|3,56
164|0,79|Ideal|F|SI2|61,9|55,0|2771|5,97|5,92|3,68
165|0,73|Very Good|H|VVS1|60,4|59,0|2772|5,83|5,89|3,54
166|0,8|Very Good|F|SI2|61,0|57,0|2772|6,01|6,03|3,67
167|0,58|Ideal|G|VVS1|61,5|55,0|2772|5,39|5,44|3,33
168|0,58|Ideal|F|VVS1|61,7|56,0|2772|5,33|5,37|3,3
169|0,71|Good|E|VS2|59,2|61,0|2772|5,8|5,88|3,46
170|0,75|Ideal|D|SI2|61,3|56,0|2773|5,85|5,89|3,6
171|0,7|Premium|D|VS2|58,0|62,0|2773|5,87|5,78|3,38
172|1,17|Very Good|J|I1|60,2|61,0|2774|6,83|6,9|4,13
173|0,6|Ideal|E|VS1|61,7|55,0|2774|5,41|5,44|3,35
174|0,7|Ideal|E|SI1|62,7|55,0|2774|5,68|5,74|3,58
175|0,83|Good|I|VS2|64,6|54,0|2774|5,85|5,88|3,79
176|0,74|Very Good|F|VS2|61,3|61,0|2775|5,8|5,84|3,57
177|0,72|Very Good|G|VS2|63,7|56,4|2776|5,62|5,69|3,61
178|0,71|Premium|E|VS2|62,7|58,0|2776|5,74|5,68|3,58
179|0,71|Ideal|E|VS2|62,2|57,0|2776|5,79|5,62|3,55
180|0,54|Ideal|E|VVS2|61,6|56,0|2776|5,25|5,27|3,24
181|0,54|Ideal|E|VVS2|61,5|57,0|2776|5,24|5,26|3,23
182|0,72|Ideal|G|SI1|61,8|56,0|2776|5,72|5,75|3,55
183|0,72|Ideal|G|SI1|60,7|56,0|2776|5,79|5,82|3,53
184|0,72|Good|G|VS2|59,7|60,5|2776|5,8|5,84|3,47
185|0,71|Ideal|G|SI1|60,5|56,0|2776|5,8|5,76|3,5
186|0,7|Very Good|D|VS1|62,7|58,0|2777|5,66|5,73|3,57
187|0,71|Premium|F|VS2|62,1|58,0|2777|5,67|5,7|3,53
188|0,71|Very Good|F|VS2|62,8|57,0|2777|5,64|5,69|3,56
189|0,71|Good|F|VS2|63,8|58,0|2777|5,61|5,64|3,59
190|0,71|Good|F|VS2|57,8|60,0|2777|5,87|5,9|3,4
191|0,7|Ideal|E|VS2|62,1|55,0|2777|5,7|5,67|3,53
192|0,7|Premium|E|VS2|61,1|60,0|2777|5,71|5,64|3,47
193|0,7|Premium|E|SI1|60,0|59,0|2777|5,79|5,75|3,46
194|0,7|Premium|E|SI1|61,2|57,0|2777|5,73|5,68|3,49
195|0,7|Premium|E|SI1|62,7|59,0|2777|5,67|5,63|3,54
196|0,7|Premium|E|SI1|61,0|57,0|2777|5,73|5,68|3,48
197|0,7|Premium|E|SI1|61,0|58,0|2777|5,78|5,72|3,51
198|0,7|Ideal|E|SI1|61,4|57,0|2777|5,76|5,7|3,52
199|0,72|Premium|F|SI1|61,8|61,0|2777|5,82|5,71|3,56
200|0,7|Very Good|E|SI1|59,9|63,0|2777|5,76|5,7|3,43
201|0,7|Premium|E|SI1|61,3|58,0|2777|5,71|5,68|3,49
202|0,7|Premium|E|SI1|60,5|58,0|2777|5,77|5,74|3,48
203|0,7|Good|E|VS2|64,1|59,0|2777|5,64|5,59|3,6
204|0,98|Fair|H|SI2|67,9|60,0|2777|6,05|5,97|4,08
205|0,78|Premium|F|SI1|62,4|58,0|2777|5,83|5,8|3,63
206|0,7|Very Good|E|SI1|63,2|60,0|2777|5,6|5,51|3,51
207|0,52|Ideal|F|VVS1|61,3|55,0|2778|5,19|5,22|3,19
208|0,73|Very Good|H|VS2|60,8|56,0|2779|5,82|5,84|3,55
209|0,74|Ideal|E|SI1|61,7|56,0|2779|5,84|5,8|3,59
210|0,7|Very Good|F|VS2|63,6|57,0|2780|5,61|5,65|3,58
211|0,77|Premium|G|VS2|61,2|58,0|2780|5,9|5,93|3,62
212|0,71|Ideal|F|VS2|62,1|54,0|2780|5,68|5,72|3,54
213|0,74|Ideal|G|VS1|61,5|55,0|2780|5,81|5,86|3,59
214|0,7|Ideal|G|VS1|61,4|59,0|2780|5,64|5,73|3,49
215|1,01|Premium|F|I1|61,8|60,0|2781|6,39|6,36|3,94
216|0,77|Ideal|H|SI1|62,2|56,0|2781|5,83|5,88|3,64
217|0,78|Ideal|H|SI1|61,2|56,0|2781|5,92|5,99|3,64
218|0,72|Very Good|H|VS1|60,6|63,0|2782|5,83|5,76|3,51
219|0,53|Very Good|D|VVS2|57,5|64,0|2782|5,34|5,37|3,08
220|0,76|Ideal|G|VS2|61,3|56,0|2782|5,9|5,94|3,63
221|0,7|Good|E|VS1|57,2|62,0|2782|5,81|5,77|3,31
222|0,7|Premium|E|VS1|62,9|60,0|2782|5,62|5,54|3,51
223|0,75|Very Good|D|SI2|63,1|58,0|2782|5,78|5,73|3,63
224|0,72|Ideal|D|SI1|60,8|57,0|2782|5,76|5,75|3,5
225|0,72|Premium|D|SI1|62,7|59,0|2782|5,73|5,69|3,58
226|0,7|Premium|D|SI1|62,8|60,0|2782|5,68|5,66|3,56
227|0,84|Fair|G|SI1|55,1|67,0|2782|6,39|6,2|3,47
228|0,75|Premium|F|SI1|61,4|59,0|2782|5,88|5,85|3,6
229|0,52|Ideal|F|IF|62,2|55,0|2783|5,14|5,18|3,21
230|0,72|Very Good|F|VS2|63,0|54,0|2784|5,69|5,73|3,6
231|0,79|Very Good|H|VS1|63,7|56,0|2784|5,85|5,92|3,75
232|0,72|Very Good|F|VS2|63,6|58,0|2787|5,66|5,69|3,61
233|0,51|Ideal|F|VVS1|62,0|57,0|2787|5,11|5,15|3,18
234|0,64|Ideal|D|VS1|61,5|56,0|2787|5,54|5,55|3,41
235|0,7|Very Good|H|VVS1|60,5|60,0|2788|5,74|5,77|3,48
236|0,83|Very Good|I|VS1|61,1|60,0|2788|6,07|6,1|3,72
237|0,76|Ideal|I|VVS2|61,8|56,0|2788|5,85|5,87|3,62
238|0,71|Good|D|VS2|63,3|56,0|2788|5,64|5,68|3,58
239|0,77|Good|G|VS1|59,4|64,0|2788|5,97|5,92|3,53
240|0,71|Ideal|F|SI1|62,5|55,0|2788|5,71|5,65|3,55
241|1,01|Fair|E|I1|64,5|58,0|2788|6,29|6,21|4,03
242|1,01|Premium|H|SI2|62,7|59,0|2788|6,31|6,22|3,93
243|0,77|Good|F|SI1|64,2|52,0|2789|5,81|5,77|3,72
244|0,76|Good|E|SI1|63,7|54,0|2789|5,76|5,85|3,7
245|0,76|Premium|E|SI1|60,4|58,0|2789|5,92|5,94|3,58
246|0,76|Premium|E|SI1|61,8|58,0|2789|5,82|5,86|3,61
247|1,05|Very Good|J|SI2|63,2|56,0|2789|6,49|6,45|4,09
248|0,81|Ideal|G|SI2|61,6|56,0|2789|5,97|6,01|3,69
249|0,7|Ideal|E|SI1|61,6|56,0|2789|5,72|5,75|3,53
250|0,55|Ideal|G|IF|60,9|57,0|2789|5,28|5,3|3,22
251|0,81|Good|G|SI2|61,0|61,0|2789|5,94|5,99|3,64
252|0,63|Premium|E|VVS2|62,1|57,0|2789|5,48|5,41|3,38
253|0,63|Premium|E|VVS1|60,9|60,0|2789|5,55|5,52|3,37
254|0,77|Premium|H|VS1|61,3|60,0|2789|5,9|5,88|3,61
255|1,05|Fair|J|SI2|65,8|59,0|2789|6,41|6,27|4,18
256|0,64|Ideal|G|IF|61,3|56,0|2790|5,54|5,58|3,41
257|0,76|Premium|I|VVS1|58,8|59,0|2790|6,0|5,94|3,51
258|0,83|Ideal|F|SI2|62,3|55,0|2790|6,02|6,05|3,76
259|0,71|Premium|F|VS1|60,1|62,0|2790|5,77|5,74|3,46
260|0,71|Premium|F|VS1|61,8|59,0|2790|5,73|5,69|3,53
261|0,87|Very Good|I|SI1|63,6|55,8|2791|6,07|6,1|3,87
262|0,73|Ideal|E|SI1|62,2|56,0|2791|5,74|5,78|3,58
263|0,71|Premium|E|SI1|59,2|59,0|2792|5,83|5,86|3,46
264|0,71|Premium|E|SI1|61,8|59,0|2792|5,7|5,75|3,54
265|0,71|Ideal|E|SI1|61,3|55,0|2792|5,72|5,77|3,52
266|0,7|Premium|F|VS1|62,1|60,0|2792|5,71|5,65|3,53
267|0,7|Premium|F|VS1|60,7|60,0|2792|5,78|5,75|3,5
268|0,76|Premium|H|VVS2|59,6|57,0|2792|5,91|5,86|3,51
269|0,7|Ideal|F|VS1|62,2|56,0|2792|5,73|5,68|3,55
270|0,79|Very Good|G|SI1|60,6|57,0|2793|5,98|6,06|3,65
271|0,7|Very Good|E|VS2|62,9|57,0|2793|5,66|5,69|3,57
272|0,7|Good|E|VS2|64,1|55,0|2793|5,6|5,66|3,61
273|0,76|Ideal|I|VS2|61,3|56,0|2793|5,87|5,91|3,61
274|0,73|Ideal|H|VS2|62,7|55,0|2793|5,72|5,76|3,6
275|0,79|Very Good|E|SI1|63,2|56,0|2794|5,91|5,86|3,72
276|0,71|Very Good|E|VS2|60,7|56,0|2795|5,81|5,82|3,53
277|0,81|Premium|I|VVS2|61,9|60,0|2795|5,91|5,86|3,64
278|0,81|Ideal|F|SI2|62,6|55,0|2795|5,92|5,96|3,72
279|0,72|Good|F|VS1|60,7|60,0|2795|5,74|5,72|3,48
280|0,72|Premium|D|SI2|62,0|60,0|2795|5,73|5,69|3,54
281|0,72|Premium|I|IF|63,0|57,0|2795|5,72|5,7|3,6
282|0,81|Premium|H|VS2|58,0|59,0|2795|6,17|6,13|3,57
283|0,72|Premium|G|VS2|62,9|57,0|2795|5,73|5,65|3,58
284|1,0|Premium|I|SI2|58,2|60,0|2795|6,61|6,55|3,83
285|0,73|Good|E|SI1|63,2|58,0|2796|5,7|5,76|3,62
286|0,81|Very Good|H|SI2|61,3|59,0|2797|5,94|6,01|3,66
287|0,81|Very Good|E|SI1|60,3|60,0|2797|6,07|6,1|3,67
288|0,71|Premium|D|SI1|62,7|60,0|2797|5,67|5,71|3,57
289|0,71|Premium|D|SI1|61,3|58,0|2797|5,73|5,75|3,52
290|0,71|Premium|D|SI1|61,6|60,0|2797|5,74|5,69|3,52
291|0,57|Ideal|F|VVS2|61,9|55,0|2797|5,34|5,35|3,31
292|0,51|Ideal|D|VVS1|61,7|56,0|2797|5,12|5,16|3,17
293|0,72|Ideal|G|VS2|61,9|58,0|2797|5,72|5,75|3,55
294|0,74|Ideal|H|VS1|61,8|58,0|2797|5,77|5,81|3,58
295|0,74|Ideal|H|VS1|61,6|56,0|2797|5,81|5,82|3,58
296|0,7|Fair|G|VVS1|58,8|66,0|2797|5,81|5,9|3,44
297|0,8|Premium|F|SI2|61,0|57,0|2797|6,03|6,01|3,67
298|1,01|Fair|E|SI2|67,4|60,0|2797|6,19|6,05|4,13
299|0,8|Very Good|H|VS2|63,4|60,0|2797|5,92|5,82|3,72
300|0,77|Ideal|I|VS1|61,5|59,0|2798|5,87|5,91|3,62
301|0,83|Very Good|E|SI2|58,0|62,0|2799|6,19|6,25|3,61
302|0,82|Ideal|F|SI2|62,4|54,0|2799|5,97|6,02|3,74
303|0,78|Ideal|D|SI1|61,9|57,0|2799|5,91|5,86|3,64
304|0,6|Very Good|G|IF|61,6|56,0|2800|5,43|5,46|3,35
305|0,9|Good|I|SI2|62,2|59,0|2800|6,07|6,11|3,79
306|0,7|Premium|E|VS1|62,2|58,0|2800|5,6|5,66|3,5
307|0,9|Very Good|I|SI2|61,3|56,0|2800|6,17|6,23|3,8
308|0,83|Ideal|G|SI1|62,3|57,0|2800|5,99|6,08|3,76
309|0,83|Ideal|G|SI1|61,8|57,0|2800|6,03|6,07|3,74
310|0,83|Very Good|H|SI1|62,5|59,0|2800|5,95|6,02|3,74
311|0,74|Premium|G|VS1|62,9|60,0|2800|5,74|5,68|3,59
312|0,79|Ideal|I|VS1|61,8|59,0|2800|5,92|5,95|3,67
313|0,61|Ideal|G|IF|62,3|56,0|2800|5,43|5,45|3,39
314|0,76|Fair|G|VS1|59,0|70,0|2800|5,89|5,8|3,46
315|0,96|Ideal|F|I1|60,7|55,0|2801|6,37|6,41|3,88
316|0,73|Ideal|F|VS2|62,5|55,0|2801|5,8|5,76|3,61
317|0,73|Premium|F|VS2|62,7|58,0|2801|5,76|5,7|3,59
318|0,75|Ideal|H|SI1|60,4|57,0|2801|5,93|5,96|3,59
319|0,71|Premium|F|VS2|62,1|58,0|2801|5,7|5,67|3,53
320|0,71|Good|F|VS2|57,8|60,0|2801|5,9|5,87|3,4
321|0,71|Good|F|VS2|63,8|58,0|2801|5,64|5,61|3,59
322|0,71|Premium|F|VS2|62,8|57,0|2801|5,69|5,64|3,56
323|1,04|Premium|G|I1|62,2|58,0|2801|6,46|6,41|4,0
324|1,0|Premium|J|SI2|62,3|58,0|2801|6,45|6,34|3,98
325|0,87|Very Good|G|SI2|59,9|58,0|2802|6,19|6,23|3,72
326|0,53|Ideal|F|IF|61,9|54,0|2802|5,22|5,25|3,24
327|0,72|Premium|E|VS2|63,0|55,0|2802|5,79|5,61|3,59
328|0,72|Premium|F|VS1|62,4|58,0|2802|5,83|5,7|3,6
329|0,7|Very Good|F|VS2|62,9|58,0|2803|5,63|5,65|3,55
330|0,74|Very Good|E|SI1|63,5|56,0|2803|5,74|5,79|3,66
331|0,71|Ideal|G|VS2|61,3|56,0|2803|5,75|5,71|3,51
332|0,73|Ideal|E|SI1|60,6|54,0|2803|5,84|5,89|3,55
333|0,7|Good|G|VS1|65,1|58,0|2803|5,56|5,59|3,63
334|0,71|Premium|F|VS2|62,6|58,0|2803|5,7|5,67|3,56
335|0,71|Premium|F|VS2|58,0|62,0|2803|5,85|5,81|3,38
336|0,71|Premium|G|VS1|62,4|61,0|2803|5,7|5,65|3,54
337|0,77|Premium|G|VS2|61,3|57,0|2803|5,93|5,88|3,62
338|0,71|Premium|G|VS2|59,9|60,0|2803|5,81|5,77|3,47
339|0,78|Premium|G|VS2|60,8|58,0|2803|6,03|5,95|3,64
340|0,71|Very Good|G|VS1|63,5|55,0|2803|5,66|5,64|3,59
341|0,91|Ideal|D|SI2|62,2|57,0|2803|6,21|6,15|3,85
342|0,71|Very Good|E|VS2|63,8|58,0|2804|5,62|5,66|3,6
343|0,71|Very Good|E|VS2|64,0|57,0|2804|5,66|5,68|3,63
344|0,8|Very Good|E|SI2|62,5|56,0|2804|5,88|5,96|3,7
345|0,7|Very Good|D|SI1|62,3|58,0|2804|5,69|5,73|3,56
346|0,72|Ideal|F|VS1|61,7|57,0|2804|5,74|5,77|3,55
347|0,72|Very Good|F|VS1|62,2|58,0|2804|5,75|5,7|3,56
348|0,82|Ideal|H|VS2|61,5|56,0|2804|6,01|6,08|3,72
349|0,7|Ideal|D|SI1|61,0|59,0|2804|5,68|5,7|3,47
350|0,72|Ideal|D|SI1|62,2|56,0|2804|5,74|5,77|3,58
351|0,72|Ideal|D|SI1|61,5|54,0|2804|5,77|5,8|3,56
352|0,9|Fair|I|SI1|67,3|59,0|2804|5,93|5,84|3,96
353|0,74|Premium|F|VS2|61,7|58,0|2805|5,85|5,78|3,59
